,Заглавие:,Автор: ,Категория:,Номер: ,Издадена:,Език:
82,Дифференциальная геометрия финслероых пространств,Х.Рунд,ДГ,,1981,
83,Римановы поверхности,О.Форстер,ДГ,,1980,
,,,,,,
84,В света на числата,Ив.Байчев,научно-популярна литература,,1963,
85,Краткий справочник по начертательхой геометрии и машиностроительному черчению,Н.П.Сберегаев,научно-популярна литература,,1961,
86,Висша математика за фармацевти,Др.Байнов,научно-популярна литература,,1979,
87,Математически софизми,Иб. Чобанов,научно-популярна литература,,1961,
88,Очерки по истории математики,Б.В.Болеарский,научно-популярна литература,,1979,
89,Очерки по истории математики,Б.В.Болеарский,научно-популярна литература,,1979,
90,Неточности в точните науки,Св. Соколов,научно-популярна литература,,2006,
91,Неточности в точните науки,Св. Соколов,научно-популярна литература,,2006,
92,Человек и информация,К. Черри,Документални филми,,1972,
93,Начални познания по кибернетика,Тодор Боянов,Документални филми,,1978,
94,Может ли машина мислит,А. Тюринг,Документални филми,,1960,
95,Нерешеные математические задачи,С. Улам,Документални филми,,1964,
96,Теория решения задач,Р. Бенерджи,Документални филми,,1972,
97,Третья проблема Гилберта,В.Г. Болтянский,Документални филми,,1977,
,,,,,,
98,Справочник по математике,И.Н. Бронштейн,Справочник,,1986,
99,Математика в СССР за тридцать лет 1917-1947,А.Г.Купоша,Справочник,,1948,
100,Kleine enzyklopaedie Mathematik,W.Gellert,Справочник,,1965,
101,Математика в СССР за сораклет 1917-1957,А.Г.Куроша,Справочник,,1959,
102,Математика в СССР за тридцать лет 1917-1947,А.Г.Купоша,Справочник,,1959,
103,Математика в СССР за тридцать лет 1917-1947,А.Г.Купоша,Справочник,,1959,
104,Математика в СССР за сораклет 1917-1957,А.Г.Купоша,Справочник,,1959,
105,Графики функций,Н.А. Вирченко,Справочник,,1979,
,,,,,,
106,Сборник задач по аналитической геометрии,"П.С. Моденов, А.С. Парахменко",АГ,,1976,
107,Линии и поверхносести в аффинном трехмерном пространстве,Л.К. Тутаев,АГ,,1962,
108,Аналитична геометрия,Грозьо Станилов,АГ,,2000,
109,Внутренняя геометрия выпуклых поверхностей,А.Д. Александров,АГ,,1948,
110,Аффиннная Геометрия,А.М. Комиссарук,АГ,,1977,
111,Сборник задач по аналитической геометрии,"П.С. Моденов, А.С. Парахменко",АГ,,1976,
112,Аналитична геометрия,Боян Петканчим,АГ,,1960,
113,Сборник задач по аналитической геометрии,"С.В. Бахвалов, П.С. Моденов, А.С. Пархоменко",АГ,,1964,
,,,,,,
114,Группы матриц,Д.А. Супрененко,Групи,,1972,
115,Расширения минимальных групп преобразований,И.У. Бронштейн,Групи,,1975,
116,Теория Галуа р - расширений,Х. Кох,Групи,,1973,
117,Рациональные группы,Ю. И. Мерзляков,Групи,,1980,
118,Ввдение в теорию групп,П.С. Александров,Групи,,1980,
119,Алгебраическая теория плугрупп том1,"А. Клиффорд, Г. Престон",Групи,,1972,
120,Алгебраическая теория плугрупп том2,"А. Клиффорд, Г. Престон",Групи,,1972,
121,Лекции о группах Шевалле,Р. Стейнберг,Групи,,1967,
122,Многообразия групп,Х. Нейман,Групи,,1969,
123,Линейно упорядоченные группы,"А.И. Кокорин, В.М. Копытов",Групи,,1972,
124,Группы с заданными свойствами системы подгрупп,С.Н. Черников,Групи,,1980,
125,Арифметические группы и автоморные функции,"А. Сельберг, Р. Годеман",Групи,,1969,
126,Основы теории групп,"М.И. Каргаполов, Ю.И. Мерзляков",Групи,,1972,
127,Полугруппы,Е.С. Ляпин,Групи,,1960,
128,Компактные группы Ли и их представления,Д.П.Желобенко,Групи,,1970,
,,,,,,
129,Операторы Штурма - Лиувилля и их приложения,В.А. Марченко,ОДУ,,1977,
130,Елементы теории представлений,А.А. Кириллов,ОДУ,,1972,
131,Разложения по собственным функциям связанные с дифференциальными уравнениями второго порядка том2,Е.Ч. Титчмарш,ОДУ,,1961,
132,Сборник задач по обыкновенным дифференциальным уравнениям,"М.Л. Краснов, А.И. Киселев, Г.И. Макаренко",ОДУ,,1978,
133,Линейные дифференциальные уравнения и функциональные пространства,"Х. Массера, Х. Шеффер",ОДУ,,1970,
134,Обыкновенные дифференциальные уравнения,Ф. Хартман,ОДУ,,1970,
135,Линейные дифференциальные уравнения главного типа,Ю.В. Егоров,ОДУ,,1984,
136,Методическо ръководство по обикновени диференциални уравнения,"Друми Байнов, Петър Шопов, Снежана Христова",ОДУ,,1980,
137,Методическо ръководство по обикновени диференциални уравнения,"Петър Шопов, Друми Байнов, Снежана Христова",ОДУ,,1978,
138,Методы интегрирования обыкновенных дифференциальных уравнений,Н.М. Матвеев,ОДУ,,1963,
139,Введение в теорию систем,"С.Директор, Р.Рорер",ОДУ,,1974,
140,Цепи с переменными параметрами,Ф.П.Жарков,ОДУ,,1976,
141,Интегральные множества периодических систем дифференциальных уравнений,В.А.Плисс,ОДУ,,1977,
142,Системы с переменным запаздыванием,"А.В.Солодов, Е.А.Солодова",ОДУ,,1980,
143,Линейные системы с переменными параметрами,Г.Д'Анжело,ОДУ,,1974,
144,Устойчивость управляемость наблюдаемость,А.А.Воронов,ОДУ,,1979,
145,Некоторые сингулярные краевые задачи для обыкновенных дифференциальных уравнений,И.Т. Кигуразде,ОДУ,,1975,
,,,,,,
146,Многомерные сингулярные интегралы и интегральные уравнения,С.Г. Михалин,ДУ,,1962,
147,Дифференциальньное преобразования функций и уравнений,Г.Е.Пухов,ДУ,,1980,
148,Кравые задачи и сингулярные интегральные уравнения со сдвигом,Г.С.Литвинчук,ДУ,,1977,
149,"Разложения по собственнь, функциям связанные с дифференциальными уравнениями второго порядка том1",Е.Ч.Титчматш,ДУ,,1960,
150,Внешние дифференциальные системы и их геометрические приложения,Е. Картан,ДУ,,1962,
151,Асимптотические свойства аналитических решений дифференциальных уравнений,Ш.И. Стрелиц,ДУ,,1972,
152,Еллиптические функции,С. Ленг,ДУ,,1984,
153,Разностные методы для еллипточеских уравнений,"А.А. Самарский, В.Б. Андреев",ДУ,,1976,
154,Метод функций Ляпунова и его приложения,?,ДУ,,1984,
155,Почи - периодические функции и дифференциальные уравнения,"Б.М. Левитан, В.В. Жиков",ДУ,,1978,
156,Геометрические асимптотики,"В. Гийемин, С. Стернберг",ДУ,,1981,
157,Особеныее точки дифференциальные уравнений,А.Ф. Андреев,ДУ,,1979,
158,Бесконечные системы дифференциальных уравнений,"К.Г. Валеев, О.А. Жаутыков",ДУ,,1974,
159,Геометрическая теория дифференциальных уравнений,С. Лефшец,ДУ,,1961,
160,Книга для чтения по общему курсу дифференциальных уравнений,Н.П. Еругин,ДУ,,1972,
161,Дифференциальные уравнения и вариационное исчисления,Л.Е. Ельсгоьц,ДУ,,1969,
162,Дифференциальные уравнения,Ф. Трикоми,ДУ,,1962,
163,Уравнения в свертках и проекционные методые их решения,"И.Ц. Гохберг, И.А. Фельдман",ДУ,,1971,
164,Теория вольтерровых операторов в гилбертьвом пространстве и ее приложения,"И.Ц. Гохберг, М.Г. Крейн",ДУ,,1967,
165,Бифуркация рожденния цикла и ее приложения,"Дж. Мардсен, М. Мак-Кракен",ДУ,,1980,
166,Интегральные преобразования обобщеных функций,А.Г. Семанян,ДУ,,1974,
167,Теоремы существования в теории упругости,Г. Фикера,ДУ,,1974,
168,Обобщенные функции в математичесой физики,В.С. Владимиров,ДУ,,1976,
169,Устойчивость и стабилизация дискретных процесов,В.Д. Фурасов,ДУ,,1982,
170,Теория ветвления решений нелинейных уравнений,М.М. Вайнберг,ДУ,,1969,
171,Линейные однородные разностые уравнения,А.А. Миролюбов,ДУ,,1981,
,,,,,,
172,Метод Перевала,М.В.Федорюк,Частни диференциални уравнения,,1977,ру
173,Уравнения Типа Свертки,"Ф.Д.Гахов, Ю.И.Черский",Частни диференциални уравнения,,1978,ру
174,Задача Коши для гиперболических уравнений,Л.Гординг,Частни диференциални уравнения,,1961,ру
175,Некоторы задачи теории упругости и теплопроводности решаемые в бесселевых функциях,Б.Г.Коренев,Частни диференциални уравнения,,1960,ру
176,Метод Собственных векторных функций в пространственных задачах теории упругости,А.Ф.Улитко,Частни диференциални уравнения,,1979,ру
177,Вырождающиеся гиперболические уравнения,М.М.Смирнов,Частни диференциални уравнения,,1977,ру
178,Задача Коши для линейных уравнений с частными производными гиперболического типа,Ж.Адамар,Частни диференциални уравнения,,1978,ру
179,Ръководство по частни диференциални уравнения,"Петър Попиванов, Недю Попиванов, Йордан Йорданов",Частни диференциални уравнения,,1997,бг
180,Частни диференциални уравнения,Тодор Генчев,Частни диференциални уравнения,,2004,бг
