,Заглавие:,Автор: ,Категория:,Номер: ,Издадена:,Език:
327,Современное линнейное программирование,Б.Муртраф,оптимиране,,1984,
328,Линейное программирование,И.В.Нит,оптимиране,,1978,
329,Методы теории систем в задаче непрерывной линейной фильтрации,А.В. Солодов,оптимиране,,1976,
,,,,,,
330,Математика для Економистов,А. Я. Болярский,Икономика,,1957,
331,Математическа икономика,Васил Веселинов,Икономика,,1982,
332,Оптимално планиране и управление на народното стопанство,Иван Стефанов,Икономика,,1972,
333,Оптимално планиране и управление на народното стопанство,Иван Стефанов,Икономика,,1972,
334,,,,,,
335,Человек и информация,К. Черри,Документални филми,,1972,
336,Начални познания по кибернетика,Тодор Боянов,Документални филми,,1978,
337,Может ли машина мислит,А. Тюринг,Документални филми,,1960,
338,Нерешеные математические задачи,С. Улам,Документални филми,,1964,
339,Теория решения задач,Р. Бенерджи,Документални филми,,1972,
340,Третья проблема Гилберта,В.Г. Болтянский,Документални филми,,1977,
,,,,,,
341,Корен от 2,"Иван Чобанов, Георги Паскалев",Елементарна математика,,1962,
342,Измерение отрезков,Я.С. Дубнов,Елементарна математика,,1962,
343,Небокикновена алгебра,И.М. Яглов,Елементарна математика,,1972,
344,Сто задачи,Г. Штейнхауз,Елементарна математика,,1976,
345,41 задачи за кандидат-студенти,А. Кючуков,Елементарна математика,,1992,
346,Справочник по елементарной математику,К. И. Швецов,Елементарна математика,,1996,
347,Специальньй курс тригонометрии,С. И. Новоселов,Елементарна математика,,1965,
348,Специальнъй курс евелентарной алгебри,С. И. Новоселов,Елементарна математика,,1962,
349,Тестове по математика за кандидат студенти,Иван Трендафилов,Елементарна математика,,1992,
350,Как готовиться к приевным екзаменам в вуз по математике,К. У. Шахно,Елементарна математика,,1973,
351,Математически олимпиади част 1,Димо Серафимов,Елементарна математика,,1976,
352,Математически олимпиади част 2,Димо Серафимов,Елементарна математика,,1976,
353,Математически олимпиади част 2,Димо Серафимов,Елементарна математика,,1976,
354,Специальный курс элементарной алгебры,С.И.Новоселов,Елементарна математика,,1962,ру
,,,,,,
355,Кинематика елементарнх частиц,"Е.Бюкинг, К.Каянти",Математическа физика,,1975,
356,Аеро Гидроупругость,Х.Х.Блех,Математическа физика,,1961,
357,Автоколебания механических систем,А.Тондл,Математическа физика,,1979,
358,Справочное ръководство по физике,"Б.М.Яворский, Ю.А.Селезнев",Математическа физика,,1975,
359,Нелинейни трептения,Георги Бпяджиев,Математическа физика,,1970,
360,Метод Пуанкаре в теории нелинейных колебаний,А.П.Проскуряков,Математическа физика,,1977,
361,Операторные алгебры и квантовая статистическая маханика,"У.Браттели, Д.Робинсон",Математическа физика,,1982,
362,Нерегулярные граничные задачи на плокости,И.И.Данилюк,Математическа физика,,1975,
363,Метод мажорантных областей в теории фильтрации,"И.И.Ляшко, И.М.Великоиваненко, В.И.Лаврик, Г.Е.Мистецкий",Математическа физика,,1974,
364,Структурный анализ,В.М.Анищик,Математическа физика,,1979,
365,Изопериметрические неравенства в математической физике,"Г.Полиа, Г.Сеге",Математическа физика,,1962,
366,Математические методы физики,"Дж.Метыюз, Р.Уокер",Математическа физика,,1972,
367,Рейнмановские лекции по физике. Задачи и упражнения с ответами и решениями,Фейнман,Математическа физика,,1978,
368,Алгебраические методы в статистической механике и квантовой теории поля,Ж.Емх,Математическа физика,,1976,
369,Спектральный анализ и его приложения,"Г.Дженкинс, Д.Ваттс",Математическа физика,,1972,
370,Сборник задач по уравнениям математической физики,"В.С.Владимиров, В.П.Михайлов, А.А.Вашарин, Х.Х.Каримова, Ю.В.Сидоров, М.И.Шабунин",Математическа физика,,1874,
,,,,,,
371,Аналитическая механика,Л.И.Лурье,Аналитична механика / Класическа механика,,1961,
372,Задачи и упражнения по классической механике,"М.Ф.Баринова, О.В.Голубева",Аналитична механика / Класическа механика,,1980,
373,Ръководство по аналитична механика,Константин Марков,Аналитична механика / Класическа механика,,2001,
374,Теория и приложна механика ( Втори конгрес ),БАН,Аналитична механика / Класическа механика,,1975,
375,Теоритична и приложна механика четвърти конгрес,БАН,Аналитична механика / Класическа механика,,1981,
376,Теоритична и приложна механика четвърти конгрес,БАН,Аналитична механика / Класическа механика,,1981,
377,Сборним задач по анлитической механике,"Е.С.Пятницкий, Н.М.Трухан, Ю.И.Ханукаев, Г.Н.Яковенко",Аналитична механика / Класическа механика,,1980,
378,Механика в СССР за 50 лет,Л.И.Сендова,Аналитична механика / Класическа механика,,1968,
,,,,,,
379,Интегральные преобразования и специальные функции в задачах теплопроводности,"А.С.Галицын, А.Н.Жуковский",термодинамика,,1976,
380,Нестационарный теплообмен,"Б.М.Смольский, Л.А.Сеергеева, В.Л.Сергеев",термодинамика,,1974,
381,Теория на регулярного теплообмена,П.В.Черпаков,термодинамика,,1975,
382,Асимптотические методы в задачах тепломасопереноса,"И.М.Федоткин, А.М.Айзен",термодинамика,,1975,
383,Некоторые нелинейные задачи теплопроводности,"В.В.Харитонов, О.С.Сорокин",термодинамика,,1974,
,,,,,,
384,Прикладная теория гирископов,Б.В.Булгаков,други физични книги,,1976,
385,Теория упругости,"С.П.Тимошенко, Дж.Гудъер",други физични книги,,1979,
386,Основы теории дифракции,"Р.Б.Ваганов, Б.З.Каценеленбаум",други физични книги,,1982,
387,Динамическая метерология,В.А.Белинский,други физични книги,,1948,
388,Проблемы гидродинамики и их математические модели,"М.А.Лаврентьев, Б.В.Шабат",други физични книги,,1977,
,,,,,,
389,Лекции о вычислимых функциях,В.А.Успенский,Дискретна математика,,1960,
390,Проблема Бернсайда и тождества в группах,С.А.Адян,Дискретна математика,,1975,
391,Увод в дискретната математика,Кр.Манев,Дискретна математика,,2003,
392,Методы усреднения в дифференциалных и интегродифференциальныхуравнениях,А.Н.Филатов,Дискретна математика,,1971,
393,Методы стохастического программирования,Ю.М.Ермолыв,Дискретна математика,,1976,
,,,,,,
394,Операционни системи,Н.Червендинева,Програмиране,,1974,
395,Езици за функципнално и логическо програмиране 2. Логическо програмиране,М.Тодорова,Програмиране,,2003,
396,Алгоритмични езици,Л.Бърнев,Програмиране,,1972,
397,Алгоритмични езици,Л.Бърнев,Програмиране,,1972,
398,Введение в системное программирование,Л.Бек,Програмиране,,1988,
,,,,,,
399,Основни понятия и идеи по кибернетиката,"Л.Тончев, С.Велев",алгоритми,,1971,
400,основы кибернетики,К.А.Пупкова,алгоритми,,1974,
401,Степени неразрешимости,Дж.Шеншилд,алгоритми,,1977,
402,Теория рекурсивных функций и еффективная вычислимость,Х.Роджерс,алгоритми,,1972,
403,Сборник задач по программированию на алгоритмических языках,"А.М.Бухтияров, Г.Д.Фролов",алгоритми,,1974,
404,Основни понятия в информатиката,"Петър Бърнев, Стефан кепеджиев",алгоритми,,1988,
,,,,,,
405,Операционное исчисление,Р. Я. Шостак,Обработка на сигнали и нужния апарат за това,,1972,
406,Модели сигналов в линейных системах,Я. П. Драган,Обработка на сигнали и нужния апарат за това,,1972,
407,Принципы распознавания образов,"Дж. Ту, Р. Гонсалес",Обработка на сигнали и нужния апарат за това,,1978,
408,Справочник по операционному исчислению,"В. А. Диткин, П. И. Кузнецов",Обработка на сигнали и нужния апарат за това,,1951,
409,"Съвременни математически методи в техниката, том 2",Ищван Феньо,Обработка на сигнали и нужния апарат за това,,1977,
,,,,,,
410,English for mathematicians,Dimiter Dokov,математически английски,,няма,
411,English for mathematicians,Dimiter Dokov,математически английски,,1998,
412,English for mathematicians,Dimiter Dokov,математически английски,,няма,
413,English,"Г.И.Ахмановой, Л.Б.Саратовской",математически английски,,1981,
,,,,,,
414,Последовательный анализ в статистической обработке информации,А. М. Дубров,Вероятности и статистика,,1976,
415,Разклоняващи се стохастични процеси,"Марусия Славчова-Божкова, Николай Янев",Вероятности и статистика,,2007,
416,Математические основы фазового укрупнения сложных систем,"В. С. Королюк, А. Ф. Турбин",Вероятности и статистика,,1978,
417,Статистический словарь,"М. В. Птуха, Б. С. Ястремский",Вероятности и статистика,,1965,
418,Точечно-векторная геометрия и ее приложения в тероии вероятностей,"Ф. В. Томашевич, Л. И. Томашевич",Вероятности и статистика,,1979,
419,Елементы теории вероятностей,Л. З. Румшиский,Вероятности и статистика,,1976,
420,Сборник задач по теории статистики,"Б. И. Дубнов, Ю. Е. Гаабе, Г. Я. Киперман",Вероятности и статистика,,1976,
,,,,,,
421,3. Понятие лингвистической переменной и его применение к принятию приближенных решений,"Л.Заде, р.А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1976,
422,5.Лекции по Нелинейному функциональному анализу,"Л.Ниренберг, р.А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1977,
423,7.Гиббсовские состояния на счетных множествах,"К.Престон, р.А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1977,
424,9.Дифференцирование интегралов в R^n,"M.Гусман, р.А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1978,
425,10.Случайные процессы,"А.Н.Колмогоров, С.П.Новиков",Математика новое в зарубежной науке,,1978,
426,26.Лагранжев анализ и квантова механика,"Ж.Лере, р. А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1981,
427,28.Четырехмерная топология,"Р.Мандельбаум, р.А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1981,
428,29.Численные методы теории дифракции,"А.Н.Колмогоров, С.П.Новиков",Математика новое в зарубежной науке,,1982,
429,31.Математика в альтернативной теории множеств,"П.Вопенка, р.А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1983,
430,32.Теория представлений симметрических групп,"Г.Джеймс, р.А.Н.Колмогоров, р.С.П.Новиков",Математика новое в зарубежной науке,,1982,
,,,,,,
431,Основы номографии,Г. С. Хованский,Номограми,,1976,
